Strategy,2,3,4,5,6,7,8,9,10,J,Q,K,A,BC,PE,IC
Revere RAPC,2,3,3,4,3,2,0,-1,-3,-3,-3,-3,-4,1.00,0.53,0.71
Revere Point Count,1,2,2,2,2,1,0,0,-2,-2,-2,-2,-2,0.99,0.55,0.78
Uston SS,2,2,2,3,2,1,0,-1,-2,-2,-2,-2,-2,0.99,0.54,0.73
Wong Halves,0.5,1,1,1.5,1,0.5,0,-0.5,-1,-1,-1,-1,-1,0.99,0.56,0.72
KISS 3,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0.98,0.56,0.78
K-O,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0.98,0.55,0.78
Red Seven,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0.98,0.54,0.78
REKO,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0.98,0.55,0.78
Hi-Lo,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0.97,0.51,0.76
Mentor,1,2,2,2,2,1,0,-1,-2,-2,-2,-2,-1,0.97,0.62,0.80
UBZ 2,1,2,2,2,2,1,0,0,-2,-2,-2,-2,-1,0.97,0.62,0.84
Silver Fox,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0.96,0.53,0.69
Zen Count,1,1,2,2,2,1,0,0,-2,-2,-2,-2,-1,0.96,0.63,0.85
Uston Adv. Plus Minus,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0.95,0.55,0.76
Canfield Master,1,1,2,2,2,1,0,-1,-2,-2,-2,-2,0,0.92,0.67,0.85
Omega II,1,1,2,2,2,1,0,-1,-2,-2,-2,-2,0,0.92,0.67,0.85
Revere 14 Count,2,2,3,4,2,1,0,-2,-3,-3,-3,-3,0,0.92,0.65,0.82
Hi-Opt II,1,1,2,2,1,1,0,0,-2,-2,-2,-2,0,0.91,0.67,0.91
Uston APC,1,2,2,3,2,2,1,-1,-3,-3,-3,-3,0,0.91,0.69,0.90
KISS 2,0,1,1,1,1,0,0,0,-1,-1,-1,-1,0,0.90,0.62,0.87
Revere Adv. Plus Minus,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,0.89,0.59,0.76
Hi-Opt I,0,1,1,1,1,0,0,0,-1,-1,-1,-1,0,0.88,0.61,0.85
Canfield Expert,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,0.87,0.63,0.76
