count_target,count_occurence,count_prob
-139,1,0.000001
-137,1,0.000001
-135,1,0.000001
-131,1,0.000001
-130,1,0.000001
-128,1,0.000001
-127,1,0.000001
-125,3,0.000003
-117,1,0.000001
-114,1,0.000001
-110,3,0.000003
-109,2,0.000002
-108,2,0.000002
-105,1,0.000001
-104,3,0.000003
-103,3,0.000003
-102,1,0.000001
-101,3,0.000003
-100,3,0.000003
-99,1,0.000001
-98,2,0.000002
-97,1,0.000001
-96,2,0.000002
-95,4,0.000004
-94,4,0.000004
-93,1,0.000001
-92,6,0.000006
-91,8,0.000008
-90,1,0.000001
-89,5,0.000005
-88,4,0.000004
-87,4,0.000004
-86,8,0.000008
-85,8,0.000008
-84,11,0.000011
-83,8,0.000008
-82,14,0.000014
-81,14,0.000014
-80,17,0.000017
-79,15,0.000015
-78,12,0.000012
-77,16,0.000016
-76,14,0.000014
-75,16,0.000016
-74,27,0.000027
-73,17,0.000017
-72,20,0.00002
-71,20,0.00002
-70,28,0.000028
-69,30,0.00003
-68,39,0.000039
-67,32,0.000032
-66,48,0.000048
-65,43,0.000043
-64,59,0.000059
-63,66,0.000066
-62,71,0.000071
-61,63,0.000063
-60,102,0.000102
-59,79,0.000079
-58,102,0.000102
-57,123,0.000123
-56,112,0.000112
-55,137,0.000137
-54,124,0.000124
-53,160,0.00016
-52,180,0.00018
-51,213,0.000213
-50,237,0.000237
-49,260,0.00026
-48,284,0.000284
-47,369,0.000369
-46,387,0.000387
-45,391,0.000391
-44,456,0.000456
-43,501,0.000501
-42,577,0.000577
-41,721,0.000721
-40,733,0.000733
-39,898,0.000898
-38,879,0.000879
-37,993,0.000993
-36,1177,0.001177
-35,1237,0.001237
-34,1405,0.001405
-33,1534,0.001534
-32,1738,0.001738
-31,1894,0.001894
-30,2041,0.002041
-29,2306,0.002306
-28,2491,0.002491
-27,2895,0.002895
-26,3094,0.003094
-25,3434,0.003434
-24,3720,0.00372
-23,4241,0.004241
-22,4605,0.004605
-21,5032,0.005032
-20,5553,0.005553
-19,6167,0.006167
-18,6690,0.00669
-17,7197,0.007197
-16,8122,0.008122
-15,8617,0.008617
-14,9526,0.009526
-13,10085,0.010085
-12,11580,0.01158
-11,11899,0.011899
-10,13381,0.013381
-9,14633,0.014633
-8,15237,0.015237
-7,17163,0.017163
-6,17090,0.01709
-5,18262,0.018262
-4,19191,0.019191
-3,20132,0.020132
-2,20754,0.020754
-1,21172,0.021172
0,195610,0.19561
1,21704,0.021704
2,21634,0.021634
3,21643,0.021643
4,21579,0.021579
5,21058,0.021058
6,20722,0.020722
7,19297,0.019297
8,18797,0.018797
9,18152,0.018152
10,17423,0.017423
11,16616,0.016616
12,16194,0.016194
13,15229,0.015229
14,14598,0.014598
15,13653,0.013653
16,13143,0.013143
17,12346,0.012346
18,11760,0.01176
19,11070,0.01107
20,10681,0.010681
21,10016,0.010016
22,9360,0.00936
23,8942,0.008942
24,8173,0.008173
25,7789,0.007789
26,7308,0.007308
27,6989,0.006989
28,6644,0.006644
29,6187,0.006187
30,5784,0.005784
31,5321,0.005321
32,4838,0.004838
33,4715,0.004715
34,4484,0.004484
35,4083,0.004083
36,3883,0.003883
37,3566,0.003566
38,3264,0.003264
39,3013,0.003013
40,2837,0.002837
41,2659,0.002659
42,2402,0.002402
43,2241,0.002241
44,2100,0.0021
45,1898,0.001898
46,1773,0.001773
47,1631,0.001631
48,1472,0.001472
49,1318,0.001318
50,1295,0.001295
51,1155,0.001155
52,1150,0.00115
53,1050,0.00105
54,942,0.000942
55,878,0.000878
56,770,0.00077
57,789,0.000789
58,707,0.000707
59,651,0.000651
60,587,0.000587
61,572,0.000572
62,471,0.000471
63,501,0.000501
64,435,0.000435
65,402,0.000402
66,337,0.000337
67,324,0.000324
68,304,0.000304
69,265,0.000265
70,279,0.000279
71,235,0.000235
72,215,0.000215
73,198,0.000198
74,180,0.00018
75,164,0.000164
76,166,0.000166
77,143,0.000143
78,137,0.000137
79,155,0.000155
80,122,0.000122
81,118,0.000118
82,113,0.000113
83,106,0.000106
84,82,0.000082
85,91,0.000091
86,94,0.000094
87,67,0.000067
88,55,0.000055
89,59,0.000059
90,60,0.00006
91,59,0.000059
92,43,0.000043
93,55,0.000055
94,50,0.00005
95,62,0.000062
96,46,0.000046
97,44,0.000044
98,32,0.000032
99,29,0.000029
100,29,0.000029
101,35,0.000035
102,29,0.000029
103,28,0.000028
104,24,0.000024
105,14,0.000014
106,13,0.000013
107,18,0.000018
108,24,0.000024
109,17,0.000017
110,19,0.000019
111,11,0.000011
112,8,0.000008
113,10,0.00001
114,19,0.000019
115,9,0.000009
116,10,0.00001
117,5,0.000005
118,3,0.000003
119,5,0.000005
120,10,0.00001
121,3,0.000003
122,6,0.000006
123,6,0.000006
124,4,0.000004
125,4,0.000004
126,2,0.000002
127,3,0.000003
128,1,0.000001
129,8,0.000008
130,3,0.000003
131,4,0.000004
132,5,0.000005
133,5,0.000005
134,4,0.000004
135,3,0.000003
136,3,0.000003
137,2,0.000002
138,3,0.000003
139,1,0.000001
140,1,0.000001
141,2,0.000002
142,7,0.000007
143,4,0.000004
144,3,0.000003
145,1,0.000001
147,4,0.000004
148,1,0.000001
149,2,0.000002
150,3,0.000003
151,1,0.000001
153,1,0.000001
155,1,0.000001
159,3,0.000003
164,1,0.000001
166,1,0.000001
167,1,0.000001
174,2,0.000002
175,1,0.000001
176,2,0.000002
